OTU	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
Corynebacterium	0.069800184	0.001103915	0.000648777	0.025234658	0.00177666	0.000651284	0.071282894	0.001237883	0.07262368799999999	0.043351573	0.0001518	0.005891962	0.000854187	0.004146487	0.027763981	0.004387692	0.011036605	0.018135353	0.140577041	5.51e-05	0.000480783	7.170000000000001e-05	0.002001128	0.014163191	0.003597262	0.001369284	0.042476351	0.0007077110000000001	0.059798745999999986	0.407041921	0.004146749	0.414358316	0.003105542	0.020235142	0.035830836	0.033658803	0.020059247	0.001052446	0.001350775	0.162026066	0.000902997	0.0032960690000000004	0.001187709	0.0025305	0.017378955	0.131195602	0.007114946	0.000705916	0.000185687	0.010452459	0.001350138	0.042809974	0.001261634	0.00043118	0.000397367	9.37e-05	0.005406337	3.26e-05	0.001009541	0.004665669	0.000380922	6.21e-05	0.001637088	0.004927567	0.000499806
Other genus (family Dermabacteraceae)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06e-05	0.00017053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29e-05	0.0	0.0	0.0	0.0	3.75e-05	0.0	0.0	0.00017345200000000002	0.0	0.0	8.35e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58e-05	0.0	0.0	0.0	4.42e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.54e-06	0.0
Dermabacter	0.000974712	0.0	6.04e-06	0.0	3.6000000000000007e-06	0.0	0.000396567	0.0	0.0	0.0005264169999999999	0.0	0.0	0.0	6.709999999999999e-05	0.0	0.0	0.0	0.0	0.0	7.86e-06	1.42e-05	0.0	0.0	0.000159542	0.0	2.7600000000000007e-05	0.000458312	0.0	0.000659848	3.46e-05	2.88e-05	0.036754375	0.0	0.0	6.68e-05	0.0	0.0	0.0	0.0	0.002295616	0.0	0.0	0.0	0.0	0.000109776	0.0005038940000000001	0.0	0.0	3.71e-06	3.54e-05	7.67e-06	2.85e-05	0.0	0.0	0.0	0.0	3.67e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.000105326	0.0
Pseudoclavibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001669334	0.000355888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000384982	0.0	0.00017995900000000002	0.0	0.0	0.000312213	0.0	0.0	0.0	0.0	0.0	3.26e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23e-05	2.65e-05	0.0	0.0	8.98e-06	0.0	0.0	0.0	0.000817365	0.0	0.0	0.000156368	0.0	0.0	0.0	0.000196419	0.0
Other genus (family Micrococcaceae)	0.0	0.0024654110000000003	0.0	3.07e-05	0.0	0.0	0.0	0.0	1.53e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57e-05	0.0	0.0	0.0	0.0	0.0	7.47e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000609052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000133323	0.0	0.0	0.0	0.0
Unknown genus (family Micrococcaceae)	0.000270753	3.68e-05	0.0	0.0	0.0	3.01e-05	0.0	5.18e-06	0.008698915	0.008726663	2.64e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.12e-06	0.0	0.0	0.000211007	0.000480501	0.0	0.0	0.0	0.0	0.001097157	0.000172781	0.0	0.0	0.0	0.001652575	0.00105709	0.0	0.000101009	0.0	0.0	0.0	5.4899999999999986e-05	0.0	0.0	6.86e-06	0.0	0.0	0.0	7.43e-06	9.14e-05	0.0	0.003358761	0.0	0.0	3.43e-05	0.0	9.16e-05	0.0	5.18e-06	0.000418389	7.62e-05	0.0	0.0	0.000415612	1.7800000000000002e-05
Micrococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000355888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.72e-06	0.0	3.68e-05	0.0	0.0	3.75e-05	0.0	0.000115187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1e-05	0.0	0.000569464	0.0	0.0	0.0	0.0	5.89e-06	0.0	0.0	4.49e-06	1.25e-05	0.0	0.0	3.67e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.000290359	0.0
Rothia	0.000758109	0.0	0.0	0.0	0.0	0.0	0.0	7.77e-06	0.0	0.0	0.0	0.0	0.0	8.39e-06	0.0	0.0	0.001560954	0.0	0.0	0.0	0.003280008	0.0	0.008154975	0.0	0.000129865	0.0	0.0	0.0	2.25e-05	0.0	0.0	0.000121416	0.0	3.66e-06	0.0	3.74e-06	0.0	6.52e-06	6.46e-06	0.0	8.14e-06	0.0	0.0	0.0	0.0	0.0	1.27e-05	0.0	3.71e-06	0.0	0.0	0.000370033	0.0	0.000193719	1.96e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.120000000000001e-05	8.54e-06	0.0
Other genus (family Propionibacteriaceae)	0.000920561	3.68e-05	3.02e-06	1.02e-05	3.96e-05	0.000298277	0.001161374	1.55e-05	0.003093628	0.000311402	0.0	0.03837098	0.0	4.2e-05	0.0014900170000000002	2.81e-05	0.0	0.033191699	0.0	0.0	1.42e-05	0.000270981	7.52e-06	1.8e-05	0.007272444	0.0	0.0	0.0	0.0	5.03e-05	0.000115187	0.0	8.14e-05	0.002165303	0.003338536	0.023170076	0.0	0.0	6.46e-06	0.0	8.14e-06	5.4899999999999986e-05	0.000142965	5.5399999999999985e-05	0.000185247	0.000778745	2.55e-05	1.57e-05	0.0	0.002893802	0.000130411	0.0	0.0	0.0005499109999999999	0.0	0.0	0.0	0.0	1.04e-05	0.000718445	3.81e-06	9.32e-06	2.37e-05	5.12e-05	4.44e-06
Unknown genus (family Propionibacteriaceae)	0.0	0.0	0.0	0.0	3.6000000000000007e-06	3.5600000000000005e-05	0.0	1.8100000000000006e-05	3.83e-05	1.4800000000000002e-05	0.0	0.000174618	1.2e-05	0.0	0.0	0.0	0.0	0.000800542	0.0	0.0	0.000231488	0.0	0.001000564	5.15e-05	2.6e-05	0.0	0.000384982	0.0	4.5e-05	0.0	0.0	6.94e-05	0.0	1.47e-05	5.01e-05	0.027943791000000003	0.0	3.91e-05	1.29e-05	0.0	0.0	0.0	0.000146631	0.0	0.0	0.000137426	0.0	0.0	0.0	0.000624731	0.0	0.000313105	0.0	0.0	0.0	0.0	2.2e-05	0.0	1.55e-05	0.0	3.81e-06	0.0	0.0	0.0	2.22e-06
